song_id,song_str,term_count,tf
1826,want christma gift made dream come true need christma find everi sweet surpris wrap eye wait underneath tree spend day exchang kiss smile say christma long snowflak appear without bell mistleto tinsel silver glow look oh christma smile say christma long snowflak appear without bell mistleto tinsel silver glow look oh christma,52,7.707186210065289e-05
1827,absent mind absent mind lose key miss glove like lose love gotta find absent mind dizzi dopey mix mopey way way ahead game start lose king heart gotta find absent mind key gee left door glove shelf find love lose gotta find gotta find absent mind absent mind,48,7.114325732367958e-05
1828,guy doll averag unmarri femal basic lli insecur due long frustrat may react psychosomat symptom difficult endur affect upper respiratori tract word wait around littl band gold person develop cold spray wherev figur streptococci lurk give shot whatev got work tire get fish eye hotel clerk person develop cold femal remain singl legal sens show neurot tendenc see note note chronic organ syndrom toxic hypertens involv eye ear nose throat word worri whether wed person develop cough feed day vitamin bromo fizz medicin never get anywher near troubl get kind name name person develop cough stall stall stall wed trip person develop la gripp get train niag ra hear church bell chime compart air condit mood sublim get saratoga fourteenth time person develop la gripp la gripp la post nasal drip wheez sneez sinu realli pip lack commun properti feel get old person develop bad bad cold,147,0.00021787622555376874
1829,love bath glow rememb happen moment ago like rain wind breez sigh rest pillow sky deep arm peac warm togeth lay calm come storm moment two hear star come love quiet right rain rain bird want fli tree green hang leav dri like puddl pool eye let see love reflect touch feel like flower long shower lost kiss could stay hour like though know magic raindrop contain know everyth wonder rain,71,0.00010523273479127605
1830,found perfect love show everyth know love time betray truth year share celebr un giorno incontrai pensai adesso lei allora insiem noi forev know love could ask everyth dream need love everi star spell name swear alway feel want love want love dimmi che per l eternita like memori mi terrai ad abitar nei pensieri tuoi con te heart te love start noi due togeth apart forev know love could ask everyth dream need love everi star spell name swear alway feel want love want love pensami think perch io sogno te due cuori e un anima love flow free e liberi live whole life live life alway one taught everyth heart know sure heart know know love could ask everyth dream need love everi star everi star spell name swear alway feel want love want love know love,139,0.00020601901599982215
1831,beauti spaciou sky amber wave grain purpl mountain majesti fruit plain america america god shed grace thee crown thi good brotherhood sea shine sea beauti hero prove liber strife self countri love life america america god mend thine everi flaw confirm thi soul self control thi liberti law like join pleas beauti spaciou sky amber wave grain purpl mountain majesti fruit plain america america god shed grace thee crown thi good brotherhood sea shine sea shine sea,77,0.000114125641956736
1832,choru hey come joe run street hey joe must news way move feet hey joe come meet boss hey joe hope throw loss hey joe must news strike wonder like hey joe hey joe hey joe slow tell us joe spill joe joe know joe know heard good news sinc lord know strike boy back work choru yeah joe fight fuss strike boy back work us choru yeah joe gave littl took littl quit fight thing came right shout rafter let go strike done let fun day back work go choru yeah back work back work us joe gave littl took littl gave took quit fight quit fight joe thing came right shout rafter let go strike done joe choru let fun day back work go back work joe back work joe back work go,135,0.00020009041122284884
1833,someon hold close someon hurt deep someon sit chair ruin sleep make awar aliv someon need much someon know well someon pull short put hell give support aliv aliv make aliv make confus mock prais let use vari day alon alon aliv somebodi hold close somebodi forc care somebodi make come ill alway frighten aliv aliv aliv someon let someon whose feel spare someon like want share littl lot aliv make aliv make confus mock prais let use vari day alon alon aliv somebodi crowd love somebodi forc care somebodi make come ill alway frighten help us surviv aliv aliv aliv aliv,102,0.0001511794218128191
1834,say child night noth black noth white say alright know true care thing say children listen care thing children see learn children may obey children listen children look way turn learn care say listen children listen care wish make wish children care path take wish come true free care spell cast children sometim spell may last past see turn care tale tell spell children listen say child flight slip away hold tight say matter slight misunderstood leav child dead ever put head thing mother father said left care say children listen care children see learn oh guid step away children glisten temper true children turn free care say listen children listen children listen children children listen,116,0.00017192953853222568
1835,sing carol string popcorn make footprint snow mem rie christma mem rie sweetest one know cooki bake kitchen card ribbon everywher frosti christma mem rie float like snowflak air oh joy wake x ma morn fam ly round tree way make x ma morn merri close eye see shini face children children funni come decemb rememb everi x ma known way make x ma morn merri close eye see shini face children children funni come decemb rememb everi x ma ever known sing carol string popcorn shini face children preciou mem rie everi christma known,95,0.00014080436345311585
